model,dataset,output_len,mse,mae
PatchMLP,ECL,336,0.16703,0.25708
TQNet,ECL,336,0.169,0.264
MMK,ECL,336,0.204063486,0.289859764
TimeXer,ECL,336,0.176,0.275
CycleNet,ECL,336,0.17,0.264
iTransformer,ECL,336,0.178,0.269
MSGNet,ECL,336,0.197,0.304
TimesNet,ECL,336,0.198,0.3
PatchTST,ECL,336,0.204,0.293
Crossformer,ECL,336,0.246,0.337
DLinear,ECL,336,0.209,0.301
PatchMLP,ECL,720,0.20364,0.29084
TQNet,ECL,720,0.201,0.294
MMK,ECL,720,0.246670909,0.323021039
TimeXer,ECL,720,0.211,0.306
CycleNet,ECL,720,0.212,0.299
iTransformer,ECL,720,0.225,0.317
MSGNet,ECL,720,0.231,0.332
TimesNet,ECL,720,0.22,0.32
PatchTST,ECL,720,0.246,0.324
Crossformer,ECL,720,0.28,0.363
DLinear,ECL,720,0.245,0.333
PatchMLP,ECL,avg,0.163095,0.252455
TQNet,ECL,avg,0.164,0.259
MMK,ECL,avg,0.2010255635,0.28562254875
TimeXer,ECL,avg,0.171,0.27
CycleNet,ECL,avg,0.168,0.259
iTransformer,ECL,avg,0.178,0.27
MSGNet,ECL,avg,0.194,0.301
TimesNet,ECL,avg,0.193,0.295
PatchTST,ECL,avg,0.205,0.29
Crossformer,ECL,avg,0.244,0.334
DLinear,ECL,avg,0.212,0.3
PatchMLP,Solar,96,0.17908,0.22544
TQNet,Solar,96,0.173,0.233
TimeXer,Solar,96,0.215,0.295
CycleNet,Solar,96,0.19,0.247
iTransformer,Solar,96,0.203,0.237
MSGNet,Solar,96,0.21,0.246
TimesNet,Solar,96,0.25,0.292
PatchTST,Solar,96,0.234,0.286
Crossformer,Solar,96,0.31,0.331
DLinear,Solar,96,0.29,0.378
PatchMLP,Solar,192,0.19832,0.23824
TQNet,Solar,192,0.199,0.257
TimeXer,Solar,192,0.236,0.301
CycleNet,Solar,192,0.21,0.266
iTransformer,Solar,192,0.233,0.261
MSGNet,Solar,192,0.265,0.29
TimesNet,Solar,192,0.296,0.318
PatchTST,Solar,192,0.267,0.31
Crossformer,Solar,192,0.734,0.725
DLinear,Solar,192,0.32,0.398
PatchMLP,Solar,336,0.21034,0.23823
TQNet,Solar,336,0.211,0.263
TimeXer,Solar,336,0.252,0.307
CycleNet,Solar,336,0.217,0.266
iTransformer,Solar,336,0.248,0.273
MSGNet,Solar,336,0.294,0.318
TimesNet,Solar,336,0.319,0.33
PatchTST,Solar,336,0.29,0.315
Crossformer,Solar,336,0.75,0.735
DLinear,Solar,336,0.353,0.415
PatchMLP,Solar,720,0.21746,0.24876
TQNet,Solar,720,0.209,0.27
TimeXer,Solar,720,0.244,0.305
CycleNet,Solar,720,0.223,0.266
iTransformer,Solar,720,0.249,0.275
MSGNet,Solar,720,0.285,0.315
TimesNet,Solar,720,0.338,0.337
PatchTST,Solar,720,0.289,0.317
Crossformer,Solar,720,0.769,0.765
DLinear,Solar,720,0.356,0.413
PatchMLP,Solar,avg,0.2013,0.2376675
TQNet,Solar,avg,0.198,0.256
TimeXer,Solar,avg,0.237,0.302
CycleNet,Solar,avg,0.21,0.261
iTransformer,Solar,avg,0.233,0.262
MSGNet,Solar,avg,0.263,0.292
TimesNet,Solar,avg,0.301,0.319
PatchTST,Solar,avg,0.27,0.307
Crossformer,Solar,avg,0.641,0.639
DLinear,Solar,avg,0.33,0.401
PatchMLP,Traffic,96,0.39573,0.24369
TQNet,Traffic,96,0.413,0.261
MMK,Traffic,96,0.511,0.324
TimeXer,Traffic,96,0.428,0.271
CycleNet,Traffic,96,0.458,0.296
iTransformer,Traffic,96,0.395,0.268
MSGNet,Traffic,96,0.608,0.349
TimesNet,Traffic,96,0.593,0.321
PatchTST,Traffic,96,0.462,0.29
Crossformer,Traffic,96,0.522,0.29
DLinear,Traffic,96,0.65,0.396
PatchMLP,Traffic,192,0.41086,0.25326
TQNet,Traffic,192,0.432,0.271
MMK,Traffic,192,0.529453933,0.329853363
TimeXer,Traffic,192,0.448,0.282
CycleNet,Traffic,192,0.457,0.294
iTransformer,Traffic,192,0.417,0.276
MSGNet,Traffic,192,0.634,0.371
TimesNet,Traffic,192,0.617,0.336
PatchTST,Traffic,192,0.466,0.29
Crossformer,Traffic,192,0.53,0.293
DLinear,Traffic,192,0.598,0.37
PatchMLP,Traffic,336,0.42788,0.25946
TQNet,Traffic,336,0.45,0.277
MMK,Traffic,336,0.545172706,0.333838709
TimeXer,Traffic,336,0.473,0.289
CycleNet,Traffic,336,0.47,0.299
iTransformer,Traffic,336,0.433,0.283
MSGNet,Traffic,336,0.669,0.388
TimesNet,Traffic,336,0.629,0.336
PatchTST,Traffic,336,0.482,0.3
Crossformer,Traffic,336,0.558,0.305
DLinear,Traffic,336,0.605,0.373
PatchMLP,Traffic,720,0.46647,0.27933
TQNet,Traffic,720,0.486,0.295
MMK,Traffic,720,0.580439106,0.351135872
TimeXer,Traffic,720,0.516,0.307
CycleNet,Traffic,720,0.502,0.314
iTransformer,Traffic,720,0.467,0.302
MSGNet,Traffic,720,0.729,0.42
TimesNet,Traffic,720,0.64,0.35
PatchTST,Traffic,720,0.514,0.32
Crossformer,Traffic,720,0.589,0.328
DLinear,Traffic,720,0.645,0.394
PatchMLP,Traffic,avg,0.425235,0.258935
TQNet,Traffic,avg,0.445,0.276
MMK,Traffic,avg,0.54151643625,0.334706986
TimeXer,Traffic,avg,0.466,0.287
CycleNet,Traffic,avg,0.472,0.301
iTransformer,Traffic,avg,0.428,0.282
MSGNet,Traffic,avg,0.66,0.382
TimesNet,Traffic,avg,0.62,0.336
